Compound::DB00929	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0000814
Compound::DB00435	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001127
Compound::DB00988	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001206
Compound::DB09099	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001206
Compound::DB00054	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001314
Compound::DB00112	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00126	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00398	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00399	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00515	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00526	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00544	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00762	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00851	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00853	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00958	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB01101	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418
Compound::DB00530	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001624
Compound::DB06366	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001624
Compound::DB00834	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001723
Compound::DB01268	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001815
Compound::DB00909	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001956
Compound::DB00273	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001973
Compound::DB00909	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001973
Compound::DB01080	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001973
Compound::DB09210	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001973
Compound::DB00368	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0002170
Compound::DB01281	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0002171
Compound::DB01132	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0002736
Compound::DB00111	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0002874
Compound::DB01109	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0002874
Compound::DB00435	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003129
Compound::DB00215	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003467
Compound::DB01221	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003467
Compound::DB01577	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003467
Compound::DB00285	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003469
Compound::DB00715	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003469
Compound::DB00526	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003614
Compound::DB00762	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003614
Compound::DB00296	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003615
Compound::DB00316	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003811
Compound::DB00388	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003811
Compound::DB00935	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003811
Compound::DB08801	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003811
Compound::DB00877	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003873
Compound::DB00975	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003873
Compound::DB01041	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003873
Compound::DB01590	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003873
Compound::DB05676	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003873
Compound::DB08879	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0003873
